Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Вітрук,Георгій,Олегович,Чоловік,1970-11-04,Намотувальник,селище Середина-Буда,"проспект Крайня, буд. 511, Петрово-Красносілля, 86636",+380 07 732-47-20,mbashtan@example.org
Ґереґа,Теодор,Євгенович,Чоловік,1985-12-23,Підприємець,селище Суходільськ,"провулок Різницький, буд. 780, Новоазовськ, 36747",+380 07 970-96-33,svlokh@example.net
Таран,Антон,Сергійович,Чоловік,1962-01-25,Дантист,місто Волноваха,"набережна Лузанівська, буд. 44 кв. 6, Джанкой, 25951",479-27-16,zlatoslavashovkoplias@example.net
Годунок,Григорій,Петрович,Чоловік,1991-10-25,Бібліограф,хутір Острог,"вулиця Амурський 4-й, буд. 715 кв. 8, Світловодськ, 70215",010 754 85 34,petroiatseniuk@example.com
Андрієвич,Євген,Михайлович,Чоловік,1990-09-10,Інженер,селище Середина-Буда,"проспект Керченський 2-й, буд. 33, Южне, 61422",+380 (04) 542-60-43,jierchenko@example.net
Алексюк,Назар,Дмитрович,Чоловік,1988-10-31,Зоолог,селище Соледар,"набережна Аполона Скальковського, буд. 935, Жовква, 77480",031 107-11-03,hordiihutsuliak@example.com
Корпанюк,Азар,Богданович,Чоловік,1988-06-25,Кушнір,хутір Горохів,"вулиця Строганова, буд. 79 кв. 5, Берислав, 35226",080 600-71-03,dvasylashko@example.org
Штепа,Зиновій,Петрович,Чоловік,2002-08-07,Фотограф,хутір Таврійськ,"проспект В’ячеслава Чорновола, буд. 6 кв. 000, Ясинувата, 92991",+380 05 254-67-02,randriishyna@example.net
Вітер,Олександр,Юрійович,Чоловік,1994-05-06,Актор,селище Лозова ,"узвіз Штильова, буд. 632 кв. 7, Ровеньки, 75368",+380 27 265 21 28,viktor05@example.com
Негода,Сергій,Юрійович,Чоловік,1973-05-25,Каскадер,хутір Копичинці,"сквер Лобачевського, буд. 515 кв. 52, Полтава, 29960",+380 (89) 021-15-75,tsushkovolodymyra@example.com
Дейсун,Дмитро,Федорович,Чоловік,1970-07-31,Кінорежисер,селище Долинська,"парк Бузкова, буд. 99, Олевськ, 84765",+380 49 501-90-78,yalekseienko@example.net
Непорожній,Дмитро,Сергійович,Чоловік,1969-02-11,Маркетолог,місто Вугледар,"парк Вернидуба, буд. 09 кв. 1, Тальне, 02199",+380 (44) 559-25-42,iaroslava70@example.net
Тарасенко,Леонтій,Павлович,Чоловік,1982-10-09,Журналіст,село Виноградів,"сквер 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 73 кв. 162, Перемишляни, 09971",+380 88 627-56-10,baranliudmyla@example.com
Ажажа,Андрій,Миколайович,Чоловік,1974-07-23,Громадський діяч,хутір Українськ,"парк Сосюри, буд. 9, Лубни, 53032",716 67 34,okhrimkorpaniuk@example.net
Авдєєнко,Венедикт,Богданович,Чоловік,1980-09-27,Конструктор,місто Севастополь,"узвіз Скворцова, буд. 4, Красилів, 92076",+380 84 088-78-96,hmakohon@example.com
Козак,Роман,Євгенович,Чоловік,1973-10-10,Паралегал,селище Погребище,"провулок 13-та Суворовська, буд. 0, Броди, 17897",+380 46 376-36-18,klavdiia44@example.com
Вдовиченко,Едуард,Вікторович,Чоловік,1992-03-06,Економіст,село Чорнобиль,"провулок Асташкіна, буд. 3, Жидачів, 04051",001 454 63 73,alevtynperebyinis@example.com
Олійник,Альберт,Григорійович,Чоловік,1975-11-17,Дипломат,місто Нетішин,"парк Стеценко, буд. 96 кв. 648, Угнів, 62632",+380 11 833-28-35,sofiia31@example.org
Юрчишин,Артем,Богданович,Чоловік,1998-04-25,Секретар,місто Хоростків,"парк Лінія 30-та, буд. 58, Вишневе , 65584",031 610-85-46,konoplialevko@example.net
Хмара,Аркадій,Дмитрович,Чоловік,1984-05-23,Електротехнік,місто Дружба ,"шосе Марії Демченко, буд. 49, Чистякове, 36779",+380 93 665-12-10,radchenkozakhar@example.com
Оліфіренко,Франц,Олегович,Чоловік,2006-02-24,Візажист,хутір Бар,"площа Лютнева, буд. 24, Тернопіль, 05446",025 024 70 11,mazepataras@example.com
Фастенко,Віктор,Федорович,Чоловік,1963-06-27,Круп'є,селище Старобільськ,"узвіз Аеропортівський 3-й, буд. 84 кв. 1, Чорноморськ, 48827",060 502-97-32,ustym07@example.org
Щербань,Герман,Юрійович,Чоловік,1969-04-14,Ріелтор,село Болград,"вулиця Висоцького, буд. 7 кв. 8, Березань , 49403",013 661 49 99,zinkevychmyron@example.org
Свириденко,Гордій,Павлович,Чоловік,1956-07-03,Дантист,хутір Вовчанськ,"вулиця Панаса Мирного, буд. 387, Жмеринка, 27332",011 345-48-07,panteleimon54@example.net
Жученко,Миколай,Миколайович,Чоловік,2000-06-15,Менеджер,хутір Дрогобич,"вулиця Манежна, буд. 281, Тальне, 87273",+380 (68) 676-33-46,alladatsenko@example.net
Андріїшин,Павло,Романович,Чоловік,1975-03-29,Стропальник,селище Шумськ,"провулок Луценка Івана, буд. 45 кв. 24, Новоазовськ, 21921",+380 75 934 06 97,vysochanpetro@example.net
Жарко,Панас,Романович,Чоловік,1952-05-07,Єгер,село Горлівка,"парк Варненська, буд. 954 кв. 59, Помічна, 87200",+380 (86) 085-82-60,pbazylevych@example.com
Скорик,Борислав,Петрович,Чоловік,1992-07-23,Ветеринар,селище Запоріжжя,"парк 411-ї батареї, буд. 1 кв. 99, Сновськ, 34396",086 721-73-35,viktor22@example.org
Слюсар,Гліб,Максимович,Чоловік,1976-07-02,Гірничий інженер,хутір Знам'янка,"сквер Спиридонівська, буд. 59, Львів, 26703",+380 81 616-25-66,roksolanatverdokhlib@example.org
Дурдинець,Остап,Іванович,Чоловік,1963-07-12,Хімік,селище Заліщики,"провулок Проектний 5-й, буд. 39 кв. 4, Марганець , 06954",+380 49 149 73 65,jkhmara@example.com
Охріменко,Микита,Павлович,Чоловік,1965-01-05,Реставратор,хутір Южноукраїнськ,"шосе 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 75, Селидове, 28039",040 919 13 71,huzorest@example.com
Єрченко,Яків,Миколайович,Чоловік,2006-07-23,Медик,село Боково-Хрустальне,"площа Джутовий, буд. 9, Красноград, 22295",687 63 56,fskoryk@example.net
Вовк,Зиновій,Андрійович,Чоловік,1964-09-20,Модельєр,хутір Чуднів,"проспект Сурикова 2-й, буд. 114, Носівка, 40503",+380 (98) 105-02-08,paliivolodymyra@example.net
Цушко,Марко,Тарасович,Чоловік,2007-10-11,Стиліст,хутір Сімферополь,"площа 40-річчя оборони Одеси, буд. 34, Ватутіне, 16558",+380 33 019 37 62,bmykhaliuk@example.org
Петрик,Пилип,Володимирович,Чоловік,1955-07-03,Паралегал,селище Біляївка,"шосе Глазунова 1-й, буд. 05, Радехів, 68042",+380 99 863 93 06,ievhentovstukha@example.com
Фартушняк,Владислав,Романович,Чоловік,1969-02-20,Бухгалтер,селище Суми,"узвіз Новгородська, буд. 37 кв. 36, Виноградів, 05903",088 257 66 41,xshevchenko@example.com
Литвиненко,Мирон,Сергійович,Чоловік,2006-02-14,Інженер,селище Немирів,"площа Кузнечна, буд. 112, Тиврів, 98468",+380 (82) 847-53-33,pylypenkoolha@example.com
Швачка,Іван,Романович,Чоловік,1999-12-25,Драматург,село Ходорів,"парк Басейний 3-й, буд. 85, Сокаль, 44680",055 417-47-32,artem74@example.com
Демʼянюк,Вʼячеслав,Михайлович,Чоловік,1950-07-27,Бібліограф,місто Голубівка,"узвіз Рожева, буд. 0, Полонне, 96894",+380 (26) 900-25-02,martyndeisun@example.com
Ейбоженко,Валентин,Сергійович,Чоловік,1998-02-05,Медик,селище Славутич,"проспект Сумський, буд. 6 кв. 16, Красногорівка, 56869",+380 (83) 038-79-60,priskazinchuk@example.net
Авраменко,Костянтин,Євгенович,Чоловік,1962-04-10,Хімік,село Алупка,"узвіз Політкаторжан, буд. 2 кв. 413, Привілля, 90603",014 334-81-74,tarasenkoliza@example.org
Деревʼянко,Богуслав,Володимирович,Чоловік,1953-09-18,Фольклорист,хутір Апостолове,"провулок Утьосова, буд. 08 кв. 2, Бунге , 21454",992 10 86,hanna22@example.com
Іванченко,Панас,Павлович,Чоловік,1994-11-14,Детектив,селище Сімферополь,"сквер Дальницька, буд. 5, Костянтинівка, 44498",+380 30 004 06 61,nataliiavlasiuk@example.com
Хомик,Борис,Євгенович,Чоловік,1957-01-21,Водій,селище Борзна,"парк Лінія 49-та, буд. 34 кв. 0, Іловайськ, 91022",+380 72 942-32-20,vatamaniukkhrystyna@example.org
Титаренко,Антон,Юрійович,Чоловік,1997-01-07,Фотограф,хутір Сулимівка (Слов'янськ),"набережна Куликове поле, буд. 48, Судова Вишня, 95909",+380 86 964 32 92,martynsamoilenko@example.com
Яковенко,Охрім,Юрійович,Чоловік,1944-11-09,Ювелір,селище Чорнобиль,"проспект Партизанська, буд. 49 кв. 171, Саки , 96838",+380 (76) 138-00-06,korpaniukvenedykt@example.net
Самойленко,Пантелеймон,Іванович,Чоловік,1944-05-07,Круп'є,село Вільногірськ,"площа Морський, буд. 2 кв. 451, Глобине, 54776",+380 35 148 31 95,okhrim81@example.org
Шовкопляс,Борис,Миколайович,Чоловік,1964-05-06,Мірошник,селище Попасна,"вулиця Профспілкова, буд. 190, Чортків, 82883",079 245-88-47,tereza22@example.com
Титаренко,Олесь,Максимович,Чоловік,2007-04-24,Гінеколог,хутір Березань ,"парк Крутоярська, буд. 7 кв. 676, Сколе, 48423",069 395-52-84,myroslavshukhevych@example.org
Перепелиця,Захар,Андрійович,Чоловік,1947-12-21,Підприємець,хутір Гайсин,"провулок Чорноморський, буд. 51 кв. 38, Жовті Води, 99478",+380 57 560 45 81,taraszaichenko@example.com
Сірко,Аврелій,Петрович,Чоловік,1941-10-16,Біолог,хутір Павлоград,"узвіз 15-та ст. Великого Фонтану пляж, буд. 2, Рівне, 36199",+380 05 573-56-39,martyn85@example.net
Колодуб,Теодор,Федорович,Чоловік,1959-05-06,Астроном,селище Володимир-Волинський,"узвіз Безіменний, буд. 650 кв. 21, Долина , 09904",349 32 62,ckonoplenko@example.com
Швайка,Зиновій,Максимович,Чоловік,1981-04-26,Дантист,хутір Болград,"провулок Лінія 44-та, буд. 3, Коростень, 76330",618-42-50,sskopenko@example.org
Опанасенко,Августин,Євгенович,Чоловік,1972-04-26,Фермер,селище Зіньків,"узвіз Цементний, буд. 913 кв. 82, Федорівка, 13438",718-22-86,okhrymovycharkadii@example.org
Цибуленко,Яків,Володимирович,Чоловік,2005-06-27,Провізор,село Торецьк,"шосе Новосельского, буд. 596, Здолбунів, 22728",+380 57 424 51 61,kostiantynbabiak@example.com
Бабʼяк,Артем,Вікторович,Чоловік,1957-09-30,Стиліст,хутір Олевськ,"вулиця Басейний 4-й, буд. 232 кв. 87, Берестечко, 09689",834 39 27,iaremachornovil@example.com
Остапчук,Левко,Олександрович,Чоловік,1958-05-19,Редактор,хутір Мена ,"площа Деревообробна, буд. 9, Гнівань, 28195",002 957 40 98,xtverdokhlib@example.com
Смик,Дмитро,Олександрович,Чоловік,1957-08-05,Промисловець,місто Нововолинськ,"вулиця Митна, буд. 74, Прилуки, 11980",049 452-24-88,tdanchenko@example.com
Каденюк,Зиновій,Олександрович,Чоловік,1994-07-05,Євнух,село Токмак,"узвіз Флотський 1-й, буд. 4 кв. 3, Зміїв, 49409",657-66-46,antonokhrymovych@example.org
Баранець,Климент,Миколайович,Чоловік,1977-07-19,Стоматолог,місто Бахчисарай,"сквер Леонова, буд. 94 кв. 111, Червоноград, 64787",095 205-73-00,tokarandrii@example.net
Даньків,Андрій,Тарасович,Чоловік,1942-02-20,Археолог,хутір Українка ,"проспект Вапняний 3-й, буд. 38, Кам'янка-Бузька, 91967",168 57 90,okhrymovychstefan@example.net
Павленко,Яків,Павлович,Чоловік,1989-03-02,Няня,селище Дніпрорудне,"площа Дальній, буд. 0, Кременчук, 87504",+380 41 832-29-82,lperepelytsia@example.com
Масоха,Олег,Дмитрович,Чоловік,1978-03-16,Бібліотекар,місто Нова Одеса,"парк Олександра Невського 4-й, буд. 22 кв. 7, Добропілля, 04467",111-50-29,izhakiaryna@example.com
Шамрай,Яків,Григорійович,Чоловік,2005-10-18,Хімік,селище Довжанськ,"узвіз Пересипський 1-й, буд. 33 кв. 681, Пустомити, 53346",076 983-67-16,sviatoslava43@example.org
Зайченко,Валентин,Юрійович,Чоловік,1956-06-01,Лікар,село Білозерське,"проспект Гаріна, буд. 49 кв. 66, Хуст, 55602",691-02-53,xiaremenko@example.net
Єфименко,Гліб,Андрійович,Чоловік,2004-04-20,Кінорежисер,хутір Знам'янка,"шосе Шкодова гора, буд. 56, Покровськ, 80323",+380 (42) 862-11-03,ihnathrechko@example.net
Гунько,Назар,Олегович,Чоловік,1950-10-27,Бухгалтер,селище Красилів,"парк Скрипковий, буд. 3, Соледар, 54796",+380 (80) 910-49-24,viacheslav27@example.org
Масляк,Спас,Олегович,Чоловік,2003-07-30,Астронавт,селище Олевськ,"сквер Проточний, буд. 26, Березне, 01776",084 03 24,makar51@example.org
Дашенко,Пантелеймон,Вікторович,Чоловік,2004-10-05,Лікар,хутір Первомайськ,"сквер Бодаревського, буд. 929 кв. 83, Снятин, 84367",+380 (93) 482-39-18,iaryna56@example.com
Шинкаренко,Пармен,Дмитрович,Чоловік,1972-10-28,Фрілансер,місто Ладижин,"набережна Сонячна, буд. 1, Радивилів, 37628",+380 55 387-23-96,wudovychenko@example.com
Базилевич,Семен,Павлович,Чоловік,1942-04-12,Шериф,місто Вінниця,"парк Горіхова, буд. 783 кв. 726, Саки , 23815",+380 19 095-57-46,olehilchenko@example.net
Макогон,Орхип,Олександрович,Чоловік,1990-10-27,Різноробочий,селище Верхівцеве,"узвіз Шампанський, буд. 266 кв. 468, Синельникове, 43042",+380 61 755-43-20,liliiaartemenko@example.org
Іщенко,Єфрем,Богданович,Чоловік,1976-06-12,Актор,місто Карлівка,"площа Змієнка Всеволода, буд. 1 кв. 19, Хмільник, 10256",+380 62 793-26-64,skyrdaonysym@example.net
Козаченко,Олекса,Сергійович,Чоловік,1993-09-08,Мірошник,місто Тячів,"парк Жоліо-Кюрі, буд. 8 кв. 57, Луганськ, 51313",+380 16 870-15-00,sviatoslava88@example.com
Шахрай,Святослав,Дмитрович,Чоловік,1941-03-03,Парфюмер,селище Дубляни,"набережна Гладкова, буд. 545, Лозова , 88273",+380 40 762-96-42,kyryloarkhypenko@example.org
Алексійчук,Мирослав,Максимович,Чоловік,1977-09-08,Письменник,селище Славутич,"набережна Амбулаторний 1-й, буд. 08 кв. 55, Устилуг, 60691",+380 56 663 87 50,lemeshkonadiia@example.com
Гуцуляк,Мирослав,Павлович,Чоловік,2007-08-03,Медик,селище Знам'янка,"сквер Лиманчик 2-й Лінія 8-ма, буд. 8 кв. 7, Щастя , 31410",+380 66 163-41-87,martahavryshkevych@example.com
Гаєвський,Федір,Богданович,Чоловік,1969-08-11,Намотувальник,хутір Первомайський ,"сквер Нова, буд. 69 кв. 499, Козятин, 99530",+380 80 334 23 60,davyd70@example.org
Масляк,Віталій,Тарасович,Чоловік,1980-10-18,Епідеміолог,село Хоростків,"набережна Пересипська 3-тя, буд. 015 кв. 54, Балаклія, 44662",751-55-71,bohdanna89@example.org
Литвиненко,Мирон,Сергійович,Чоловік,1998-08-24,Реставратор,місто Тисмениця,"провулок Новгородська, буд. 0 кв. 4, Торецьк, 68551",+380 16 892-59-38,feofanpetrenko@example.com
Вертипорох,Максим,Олександрович,Чоловік,1967-12-31,Паралегал,селище Новоград-Волинський,"парк Садовського, буд. 27 кв. 54, Молодогвардійськ, 85413",+380 00 923 02 92,venedykt38@example.net
Дашенко,Едуард,Олегович,Чоловік,1956-04-14,Редактор,хутір Соснівка ,"вулиця Коцюбинського, буд. 84, Київ, 55044",+380 02 639-86-84,svitlanaolifirenko@example.org
Давимука,Віктор,Петрович,Чоловік,1983-12-06,Парфюмер,місто Охтирка,"площа Рівності, буд. 1 кв. 0, Суми, 74399",+380 (06) 503-83-03,milena12@example.com
Луценко,Олег,Олександрович,Чоловік,1981-08-13,Психолог,селище Джанкой,"проспект Лютеранський, буд. 0 кв. 49, Рава-Руська, 19625",300-32-70,vatamaniukkhoma@example.org
Гречко,Трохим,Романович,Чоловік,1981-02-28,Петрограф,село Лозова ,"проспект Іванівський переїзд, буд. 678 кв. 8, Коростень, 72910",+380 22 640-45-77,vladyslav47@example.net
Корж,Демʼян,Павлович,Чоловік,1959-02-18,Бухгалтер,селище Белз,"узвіз Красива, буд. 24 кв. 80, Ірпінь, 54253",+380 06 734-43-92,kusyk@example.org
Макогон,Гліб,Олександрович,Чоловік,1941-11-05,Штукатур,місто Пирятин,"узвіз Неплія, буд. 649 кв. 9, Тульчин, 22826",018 363 91 06,halynalazarenko@example.net
Бабʼюк,Антон,Євгенович,Чоловік,1989-09-13,Психолог,село Енергодар,"узвіз Штильова, буд. 9 кв. 67, Гнівань, 63522",+380 30 694-48-64,artiukhvira@example.com
Дзюба,Григорій,Володимирович,Чоловік,1958-09-06,Футболіст,село Вінниця,"провулок Гвардійська, буд. 91 кв. 21, Гнівань, 33376",+380 93 324-14-00,solomonhuz@example.org
Артеменко,Григорій,Григорійович,Чоловік,1954-01-28,Няня,селище Заліщики,"парк Басейний 6-й, буд. 426, Борзна, 27093",+380 71 309-11-15,ftverdokhlib@example.com
Шведченко,Теодор,Андрійович,Чоловік,1959-10-24,Електромонтер,село Миронівка,"сквер Студентський 5-й, буд. 263 кв. 2, Тульчин, 29308",+380 74 766-02-33,anastasiiahavrylyshyna@example.net
Сомко,Аарон,Федорович,Чоловік,1993-12-25,Мовознавець,хутір Антрацит ,"проспект Немировича-Данченка, буд. 3, Червоносів, 91339",+380 73 743 36 34,viacheslav67@example.com
Стець,Кирило,Григорійович,Чоловік,1959-02-03,Клавішник,селище Золочів,"провулок Івана Франка, буд. 8, Мукачево, 77218",+380 16 256 29 10,lbaranets@example.net
Фастенко,Антон,Григорійович,Чоловік,1997-02-21,Кіноактор,місто Носівка,"провулок Мигдальна, буд. 143 кв. 52, Пустомити, 77512",+380 09 333-43-33,solomon38@example.org
Ткаченко,Павло,Павлович,Чоловік,1990-01-20,Кіноактор,село Керч,"провулок Контрадмірала Луніна, буд. 6, Каховка, 34329",049 973 67 92,olehskopenko@example.net
Венгринович,Трохим,Дмитрович,Чоловік,2003-02-19,Паралегал,селище Гірник ,"провулок Літакова, буд. 1, Лубни, 79716",779-48-56,tarasenkolevko@example.net
Батуринець,Адам,Григорійович,Чоловік,1990-10-01,Геофізик,хутір Географія Вільнянська,"провулок Пішонівська, буд. 2 кв. 041, Овруч, 34096",084 236 08 91,adashvedchenko@example.net
Абраменко,Гліб,Олександрович,Чоловік,1998-11-02,Бухгалтер,селище Берестечко,"проспект Ляпідевського, буд. 35 кв. 6, Мукачево, 86736",+380 85 126-40-63,arkadii85@example.net
Затовканюк,Вадим,Богданович,Чоловік,1978-09-06,Музикознавець,село Первомайськ,"площа Мічманський 1-й, буд. 427 кв. 76, Жмеринка, 84673",+380 63 552-80-66,lupiimykhailo@example.net
Затула,Левко,Максимович,Чоловік,1985-11-28,Біолог,село Дебальцеве,"набережна Тираспольська, буд. 8, Хорол , 22262",488-84-20,amvrosiikhudiak@example.com
Тригуб,Ярема,Андрійович,Чоловік,1959-02-13,Швачка,місто Бровари,"парк Ангарська, буд. 538 кв. 2, Глобине, 65194",+380 45 527-49-23,khrystynabalaban@example.org
Бабак,Данило,Сергійович,Чоловік,1945-12-10,Клоун,хутір Костянтинівка,"парк Восьмого березня 4-й, буд. 66 кв. 4, Снігурівка, 61738",019 683-22-79,iemetsoksana@example.com
Чумак,Пантелеймон,Богданович,Чоловік,1972-07-19,Євнух,хутір Вільногірськ,"вулиця Аеродромна, буд. 661 кв. 81, Малин, 48171",+380 52 424 66 60,ksachenko@example.com
Талан,Данило,Михайлович,Чоловік,1942-01-15,М'ясник,місто Узин,"проспект Яхненка Семена, буд. 07 кв. 649, Авдіївка, 11829",127 47 98,akulenkoolena@example.org
Палій,Богдан,Юрійович,Чоловік,1981-08-13,Флорист,місто Тараща,"набережна Толбухіна, буд. 236 кв. 116, Алупка, 80403",133 59 41,poliinyk@example.com
Носенко,Франц,Юрійович,Чоловік,2006-03-23,Кінорежисер,селище Кролевець,"парк Пісочна, буд. 85, Лохвиця, 76733",965 70 60,achalenko@example.net
Ющенко,Павло,Михайлович,Чоловік,1978-12-04,Психолог,село Алмазна,"набережна Чорноморський 3-й, буд. 62, Молочанськ, 05468",+380 60 839 42 63,korolenkovasylyna@example.org
Теліженко,Леонід,Максимович,Чоловік,2006-12-06,Акушер,селище Кролевець,"шосе Травневий 4-й, буд. 4 кв. 22, Ананьїв, 11092",+380 (42) 157-08-44,hlib89@example.org
Стець,Леон,Олександрович,Чоловік,1960-02-05,Музичний редактор,селище Миколаївка ,"узвіз Каретний, буд. 985 кв. 929, Мирноград, 68109",604-94-90,perepelytsianestor@example.com
Аврамчук,Левко,Дмитрович,Чоловік,1964-08-19,Складальник,хутір Корсунь-Шевченківський,"шосе Патріотична, буд. 1 кв. 4, Антрацит , 64900",+380 20 828 11 98,mzasukha@example.org
Тригуб,Устим,Вікторович,Чоловік,1994-11-17,Паблік рилейшнз,селище Березне,"сквер Сінна, буд. 76 кв. 816, Запоріжжя, 12131",+380 74 355-99-28,solomonsliusar@example.com
Гайда,Максим,Олександрович,Чоловік,1951-11-25,Перекладач,хутір Старокостянтинів,"провулок Алмазна, буд. 173 кв. 211, Ківерці, 25393",+380 22 777 14 97,snizhana94@example.org
Мірошниченко,Ігнат,Сергійович,Чоловік,1999-10-13,Модель,село Очаків,"вулиця Бітумна, буд. 98 кв. 0, Дунаївці, 38334",012 612-19-50,boleslav46@example.com
Батуринець,Гаврило,Юрійович,Чоловік,1953-12-27,Перекладач,село Белз,"набережна Соборна, буд. 5, Радомишль, 93244",+380 30 358 84 79,ieroshenkoielysei@example.org
Шиян,Назар,Дмитрович,Чоловік,1988-02-14,Модель,хутір Зеленодольськ,"проспект Тульська, буд. 027, Ладижин, 75980",001 621 93 37,tsiupaheorhii@example.com
Радченко,Болеслав,Максимович,Чоловік,1950-06-25,Бізнесмен,селище Яворів,"шосе Варненська, буд. 3 кв. 609, Миколаївка , 14163",+380 (37) 105-36-19,bakumenkodanna@example.net
Литвиненко,Ілля,Володимирович,Чоловік,2006-11-30,Реабілітолог,селище Бровари,"провулок Кісельова Ігоря, буд. 21, Верхньодніпровськ, 33251",+380 (26) 202-69-26,hryhorii25@example.com
Шевченко,Альберт,Григорійович,Чоловік,1984-12-03,Підприємець,місто Калинівка ,"парк 15-та Суворовська, буд. 082 кв. 0, Буськ, 72123",+380 (31) 044-98-80,hennadiimazur@example.net
Рудько,Олесь,Євгенович,Чоловік,1971-06-18,Продюсер,місто Старий Крим,"провулок Чорноморка, буд. 14, Гнівань, 02831",655 26 80,ivakhnii@example.net
Ісаєвич,Охрім,Юрійович,Чоловік,1963-10-17,Будник,місто Кам'янське,"сквер Танкістів, буд. 32 кв. 0, Новоград-Волинський, 24973",+380 07 633-54-25,gbevzenko@example.net
Сіробаба,Назар,Дмитрович,Чоловік,1969-05-05,Мікробіолог,хутір Новий Калинів,"узвіз Старицького, буд. 408, Новоукраїнка, 53745",+380 04 552 21 69,shchyrytsiaanton@example.com
Михайличенко,Леонід,Богданович,Чоловік,1956-07-03,М'ясник,хутір Старокостянтинів,"сквер Восьмого березня 8-й, буд. 738 кв. 130, Підгайці, 15200",+380 15 432-76-65,bohodar10@example.org
Забара,Богодар,Сергійович,Чоловік,1975-01-25,Шериф,село Географія Вільнянська,"вулиця Іподромний, буд. 5, Ізюм, 10172",065 657 15 89,albinakopytko@example.com
Вакарчук,Олег,Романович,Чоловік,1955-11-30,Гицель,селище Сколе,"проспект Восьмого березня 3-й, буд. 423, Коломия, 09561",438-55-36,okhrimiemets@example.org
Гаврилишин,Ігор,Тарасович,Чоловік,1991-12-21,Фрілансер,місто Покровськ,"проспект Зоопаркова, буд. 388, Хоростків, 96614",091 430 87 40,gzabarna@example.com
Наливайко,Левко,Богданович,Чоловік,1946-11-30,Реставратор,селище Герца,"набережна Магнітогорський 2-й, буд. 673 кв. 390, Теплодар, 87914",629 90 66,wdarahan@example.net
Даценко,Гліб,Сергійович,Чоловік,1959-01-20,Мінералог,хутір Нововолинськ,"проспект Цимлянська, буд. 73 кв. 66, Сорокине, 64724",+380 37 762 75 07,demianenkoieva@example.com
Ґереґа,Святослав,Максимович,Чоловік,1966-04-14,Мірошник,місто Коростень,"площа Карантинна, буд. 93, Ромни, 72597",+380 (85) 369-60-23,marianababarychenko@example.org
Ємець,Микита,Федорович,Чоловік,1943-09-28,Музикознавець,місто Устилуг,"провулок Мариністів, буд. 54, Рава-Руська, 59759",171-33-53,ustym08@example.org
Рева,Миколай,Володимирович,Чоловік,1985-01-13,Вчитель,хутір Яготин,"площа Десантний, буд. 5 кв. 24, Пологи , 30774",+380 (17) 505-72-42,btytarenko@example.org
Лемешко,Семен,Михайлович,Чоловік,1997-05-29,Професор,місто Гадяч,"парк Запорізька, буд. 8, Носівка, 35312",+380 59 463-92-02,khorishkosnizhana@example.net
